MAG_ID	Completeness	Contamination	Contigs_num	tRNA_num	rRNA_num	Quality
F5302_bin_73	60.53	0	73	29	1	Medium-quality
S107802B_bin_19	60.53	1.75	439	14	0	Medium-quality
S95008B_bin_58	60.53	4.44	446	22	0	Medium-quality
Tibetan-s1400-2M_bin_19	60.53	0	180	9	0	Medium-quality
S191108A_bin_35	60.55	0.57	242	6	0	Medium-quality
S21104A_bin_41	60.56	0	333	30	0	Medium-quality
BL-unmapped_bin_164	60.57	1.09	75	31	0	Medium-quality
F5021_bin_9	60.57	1.9	79	28	1	Medium-quality
S124310A_bin_19	60.58	4.66	313	20	1	Medium-quality
Duroc.SH-FCR.LM4_bin_4	60.61	0.1	250	28	0	Medium-quality
F4941_bin_53	60.61	0.16	126	12	0	Medium-quality
S93310B_bin_13	60.62	1.02	488	10	0	Medium-quality
F4888_bin_24	60.63	3.45	245	16	0	Medium-quality
I4978_bin_17	60.63	0.95	366	19	0	Medium-quality
LW2-s127575_bin_29	60.63	1.48	321	44	3	Medium-quality
F5412_bin_52	60.64	4.7	413	11	0	Medium-quality
I4978_bin_25	60.66	4.11	267	3	0	Medium-quality
F5108_bin_24	60.67	2.89	682	27	3	Medium-quality
F5250_bin_46	60.68	3.41	314	8	0	Medium-quality
F5494_bin_34	60.68	2.32	633	30	7	Medium-quality
C4978_bin_17	60.69	3.51	260	51	0	Medium-quality
LW1-s151433_bin_2	60.69	2.22	451	40	23	Medium-quality
F5155_bin_55	60.7	0.93	98	29	0	Medium-quality
QHF6-unmapped_bin_437	60.7	3.51	112	13	0	Medium-quality
F4675_bin_57	60.71	0.53	289	27	0	Medium-quality
F4945_bin_42	60.71	3.58	799	21	0	Medium-quality
F5094_bin_3	60.71	0.85	494	24	0	Medium-quality
F5054_bin_12	60.76	1.01	315	10	0	Medium-quality
F5106_bin_74	60.76	2.01	297	19	0	Medium-quality
Duroc-High1_bin_28	60.77	2.27	156	51	2	Medium-quality
F5108_bin_25	60.77	4.21	66	10	0	Medium-quality
Duroc-High7_bin_16	60.78	0.24	149	20	1	Medium-quality
F5347_bin_20	60.79	0	67	23	0	Medium-quality
F5447_bin_13	60.79	3.95	277	21	0	Medium-quality
F5629_bin_31	60.79	2.02	258	33	0	Medium-quality
F4658_bin_54	60.8	2.76	512	17	0	Medium-quality
F5455_bin_45	60.8	0	429	25	0	Medium-quality
F5240_bin_56	60.83	0.78	274	12	0	Medium-quality
F5509_bin_41	60.83	0.71	266	12	0	Medium-quality
F5206_bin_23	60.84	3.58	499	19	0	Medium-quality
F5210_bin_36	60.85	0	69	41	0	Medium-quality
I4978_bin_12	60.85	4.31	370	27	0	Medium-quality
S142704B_bin_21	60.85	2.63	349	14	0	Medium-quality
F4666_bin_14	60.86	0	323	21	0	Medium-quality
S133506B_bin_54	60.86	0	445	23	0	Medium-quality
F4460_bin_36	60.87	3.61	577	18	1	Medium-quality
F5157_bin_8	60.89	0	361	7	0	Medium-quality
F5046_bin_29	60.91	1.82	665	21	0	Medium-quality
F4436_bin_42	60.93	0.84	404	9	0	Medium-quality
F5123_bin_27	60.94	0.52	309	32	0	Medium-quality
Duroc-High1_bin_16	60.95	3.13	517	17	0	Medium-quality
F4726_bin_28	60.95	0.48	567	2	1	Medium-quality
BL-unmapped_bin_423	60.97	1.33	592	20	0	Medium-quality
Boar-s14_bin_30	60.98	3.02	302	13	0	Medium-quality
F4690_bin_80	60.98	2.68	588	11	0	Medium-quality
F4960_bin_57	60.98	3.3	221	4	0	Medium-quality
F5184_bin_25	60.99	0.48	521	13	0	Medium-quality
F5589_bin_39	60.99	4.97	998	13	0	Medium-quality
S80312B_bin_6	60.99	4.31	1041	13	0	Medium-quality
Boar-s22_bin_6	61.02	2.2	538	15	0	Medium-quality
F5158_bin_11	61.02	1.19	510	12	0	Medium-quality
F5502_bin_42	61.02	2.57	287	11	0	Medium-quality
F5138_bin_56	61.03	0	332	25	0	Medium-quality
F5421_bin_41	61.05	3.16	614	29	2	Medium-quality
LW2-s127152_bin_38	61.05	0.7	600	18	2	Medium-quality
QHF6-unmapped_bin_697	61.05	0	173	9	0	Medium-quality
F5381_bin_63	61.07	0	271	36	0	Medium-quality
F4878_bin_7	61.09	0.89	277	19	0	Medium-quality
F5165_bin_47	61.09	1.34	393	15	1	Medium-quality
F5039_bin_31	61.1	3.45	269	11	0	Medium-quality
Laiwu-LwCeOb_bin_2	61.12	0.24	186	16	0	Medium-quality
F4375_bin_8	61.13	3.45	545	26	0	Medium-quality
F4908_bin_47	61.13	1.89	398	12	0	Medium-quality
F5647_bin_12	61.13	0	314	8	0	Medium-quality
QHF6-unmapped_bin_246	61.14	3.52	403	34	0	Medium-quality
F5286_bin_8	61.15	0	219	29	0	Medium-quality
S21310A_bin_21	61.17	0.9	282	7	0	Medium-quality
F4726_bin_34	61.18	2.46	477	19	1	Medium-quality
F5501_bin_11	61.18	4.63	489	16	0	Medium-quality
F5179_bin_25	61.19	3.41	410	15	0	Medium-quality
Duroc-Low7_bin_36	61.2	4.08	725	21	0	Medium-quality
QHF6-unmapped_bin_600	61.2	0	226	13	0	Medium-quality
BL-unmapped_bin_394	61.21	0.86	378	14	0	Medium-quality
F4666_bin_35	61.21	3.08	458	20	12	Medium-quality
F5302_bin_18	61.21	0	114	40	34	Medium-quality
S41004A_bin_49	61.21	0	416	18	0	Medium-quality
S41004B_bin_22	61.21	0	375	10	0	Medium-quality
S127906A_bin_58	61.22	1.22	429	26	0	Medium-quality
F5084_bin_55	61.24	4.29	381	22	1	Medium-quality
F5640_bin_23	61.24	0.67	340	16	0	Medium-quality
F5594_bin_10	61.25	4.87	316	57	2	Medium-quality
BL-unmapped_bin_438	61.27	1.61	314	8	3	Medium-quality
F4988_bin_36	61.27	0.22	294	33	1	Medium-quality
C4979_bin_47	61.28	0.67	263	20	0	Medium-quality
F5097_bin_54	61.28	0.34	325	13	0	Medium-quality
F4960_bin_76	61.29	1.85	361	4	0	Medium-quality
F5140_bin_28	61.32	3.51	302	14	0	Medium-quality
F4850_bin_40	61.33	3.25	519	13	0	Medium-quality
W4950_bin_31	61.36	0	47	30	0	Medium-quality
F5135_bin_40	61.39	2.82	465	17	0	Medium-quality
F5108_bin_11	61.4	0	81	32	0	Medium-quality
QHF6-unmapped_bin_628	61.4	0	256	13	0	Medium-quality
QHF6-unmapped_bin_639	61.4	2.63	83	18	0	Medium-quality
Tibetan-s1400-30F_bin_11	61.4	1.66	371	23	3	Medium-quality
F4650_bin_31	61.41	2.33	144	17	1	Medium-quality
F5046_bin_31	61.43	0	263	6	0	Medium-quality
QHF6-unmapped_bin_146	61.44	0	180	25	0	Medium-quality
QHF6-unmapped_bin_1	61.44	1.41	624	37	0	Medium-quality
F5382_bin_17	61.46	1.43	290	29	2	Medium-quality
F5615_bin_2	61.46	1.17	305	13	0	Medium-quality
F4372_bin_65	61.51	0	42	21	0	Medium-quality
F5417_bin_3	61.51	0	36	42	2	Medium-quality
BL-unmapped_bin_340	61.52	0.89	295	10	0	Medium-quality
F5165_bin_32	61.52	0	201	37	0	Medium-quality
QHF6-unmapped_bin_525	61.52	0	239	20	0	Medium-quality
Laiwu-LwIlLe_bin_14	61.55	2.59	672	16	0	Medium-quality
F4701_bin_10	61.56	0	137	11	0	Medium-quality
F5478_bin_65	61.56	3.2	305	17	0	Medium-quality
LW1-s151116_bin_3	61.58	2.81	616	20	1	Medium-quality
S60106B_bin_30	61.6	3.49	264	11	0	Medium-quality
Tibetan-s3800-53F_bin_9	61.61	0.16	188	21	0	Medium-quality
F5250_bin_51	61.62	4.01	410	12	0	Medium-quality
QHF6-unmapped_bin_419	61.62	0.67	169	13	0	Medium-quality
F5355_bin_58	61.63	1.01	341	16	0	Medium-quality
F5366_bin_34	61.63	0.11	273	11	1	Medium-quality
QHF6-unmapped_bin_253	61.64	1.35	254	25	0	Medium-quality
Laiwu-LwCeOb_bin_14	61.65	2.58	349	17	1	Medium-quality
Tibetan-s3480-29M_bin_6	61.65	2.5	397	8	0	Medium-quality
F5575_bin_29	61.68	0	132	22	0	Medium-quality
F5204_bin_5	61.7	0	256	12	0	Medium-quality
F5309_bin_20	61.7	0.89	329	20	1	Medium-quality
F5612_bin_8	61.7	0.11	120	33	0	Medium-quality
F5634_bin_54	61.7	1.13	392	13	0	Medium-quality
LW1-sD150971_bin_7	61.74	0	44	22	2	Medium-quality
S46608A_bin_1	61.74	0.96	407	15	2	Medium-quality
F5307_bin_8	61.75	0	295	7	0	Medium-quality
LW2-s127530_bin_24	61.76	0	280	18	0	Medium-quality
BL-unmapped_bin_387	61.77	3.3	280	7	0	Medium-quality
F5446_bin_33	61.77	0.11	138	47	1	Medium-quality
Tibetan-s3800-12F_bin_18	61.81	0	301	16	1	Medium-quality
F4901_bin_26	61.82	0	87	25	2	Medium-quality
F5165_bin_13	61.84	0.28	213	15	6	Medium-quality
Duroc.SH-FCR.HF4_bin_9	61.85	0.59	306	16	0	Medium-quality
Duroc.SH-FCR.LM3_bin_12	61.86	0.78	227	17	1	Medium-quality
F4563_bin_13	61.86	2.42	70	25	0	Medium-quality
F4864_bin_35	61.86	1.5	590	24	4	Medium-quality
F4975_bin_2	61.87	0.49	533	9	0	Medium-quality
F5617_bin_36	61.89	1.76	184	12	0	Medium-quality
F5633_bin_54	61.9	1.88	323	21	0	Medium-quality
F4988_bin_48	61.91	0	703	33	1	Medium-quality
F5642_bin_31	61.91	0.84	443	12	1	Medium-quality
F5157_bin_4	61.94	4.86	678	25	0	Medium-quality
S101306A_bin_38	61.95	4.7	597	11	1	Medium-quality
F5186_bin_45	61.96	0	274	17	0	Medium-quality
F5647_bin_19	61.96	3.69	669	6	4	Medium-quality
Tibetan-s3005M_bin_16	61.96	0.87	396	14	0	Medium-quality
BL-unmapped_bin_299	61.97	3.64	536	25	0	Medium-quality
F4975_bin_3	61.97	1.88	296	17	0	Medium-quality
Boar-s10_bin_6	61.99	1.72	389	29	0	Medium-quality
F5634_bin_9	62	3.62	497	24	0	Medium-quality
S181206A_bin_6	62.03	0.72	509	18	0	Medium-quality
F5331_bin_27	62.04	3.21	677	9	0	Medium-quality
S21310A_bin_36	62.06	0	392	13	0	Medium-quality
BL-unmapped_bin_252	62.07	3.45	295	17	0	Medium-quality
Duroc.SH-FCR.LF2_bin_15	62.07	1.72	495	40	0	Medium-quality
F4864_bin_20	62.07	0.86	280	25	3	Medium-quality
F5084_bin_15	62.07	1.08	309	16	0	Medium-quality
F5115_bin_40	62.07	0	232	19	0	Medium-quality
LW1-s150761_bin_29	62.07	1.72	371	24	0	Medium-quality
QHF6-unmapped_bin_398	62.07	0	208	13	0	Medium-quality
F5115_bin_75	62.09	2.01	341	8	0	Medium-quality
F5107_bin_9	62.1	2.45	604	8	0	Medium-quality
S136810B_bin_41	62.1	4.91	482	18	0	Medium-quality
F4595_bin_51	62.11	2.01	219	14	1	Medium-quality
F4791_bin_23	62.11	0	96	20	0	Medium-quality
F5071_bin_29	62.11	3.51	152	9	0	Medium-quality
F5617_bin_28	62.11	4.4	628	26	0	Medium-quality
F5165_bin_4	62.13	2.25	81	10	1	Medium-quality
F5524_bin_1	62.13	3.24	691	11	1	Medium-quality
F5604_bin_1	62.13	0	181	29	0	Medium-quality
F5299_bin_43	62.14	3.36	577	19	0	Medium-quality
LW1-s151487_bin_9	62.14	0	203	22	0	Medium-quality
BL-unmapped_bin_147	62.15	0	331	15	0	Medium-quality
LW1-sD151116_bin_39	62.15	0	529	23	1	Medium-quality
S95006B_bin_30	62.15	1.69	547	15	0	Medium-quality
BL-unmapped_bin_373	62.16	0.47	284	5	0	Medium-quality
S127912A_bin_45	62.16	1.01	418	16	1	Medium-quality
BL-unmapped_bin_378	62.17	0.67	289	10	0	Medium-quality
F5239_bin_52	62.17	1.57	391	12	0	Medium-quality
F4943_bin_18	62.19	3.83	337	25	0	Medium-quality
S57008B_bin_22	62.21	1.12	365	6	2	Medium-quality
F4704_bin_31	62.23	1.72	483	10	0	Medium-quality
F5300_bin_37	62.23	0.88	298	22	0	Medium-quality
F5457_bin_53	62.24	4.7	365	10	0	Medium-quality
QHF6-unmapped_bin_531	62.24	0.7	208	2	0	Medium-quality
Tibetan-s3800-19M_bin_21	62.24	1.08	213	30	0	Medium-quality
Tibetan-s3480-16M_bin_14	62.26	0.94	328	18	0	Medium-quality
F5014_bin_26	62.27	1.14	287	12	0	Medium-quality
C4974_bin_30	62.28	0	198	25	1	Medium-quality
F5478_bin_43	62.28	4.39	589	30	0	Medium-quality
QHF6-unmapped_bin_443	62.28	0	89	14	0	Medium-quality
S41004A_bin_52	62.3	4.47	561	9	1	Medium-quality
F4582_bin_3	62.32	0.85	17	46	1	Medium-quality
F5163_bin_54	62.32	0	332	11	1	Medium-quality
F5370_bin_8	62.34	1.21	317	26	0	Medium-quality
Duroc.SH-FCR.HF1_bin_17	62.38	0	458	20	0	Medium-quality
F4988_bin_23	62.38	0	235	19	0	Medium-quality
F4988_bin_27	62.38	1.57	705	2	0	Medium-quality
F5058_bin_38	62.38	0.69	268	11	0	Medium-quality
F5250_bin_48	62.38	2.59	340	14	0	Medium-quality
F5366_bin_18	62.4	1.63	306	10	0	Medium-quality
F4969_bin_4	62.41	0	385	9	1	Medium-quality
F4901_bin_18	62.42	2.14	161	15	0	Medium-quality
F4961_bin_23	62.43	3.53	63	25	0	Medium-quality
F5107_bin_30	62.43	0.95	263	25	0	Medium-quality
F5497_bin_28	62.43	0.07	334	29	0	Medium-quality
F4888_bin_43	62.44	1.4	408	21	0	Medium-quality
F5218_bin_49	62.44	1.59	322	24	0	Medium-quality
F5155_bin_30	62.46	2.15	298	28	1	Medium-quality
QHF6-unmapped_bin_85	62.46	0	69	26	0	Medium-quality
S41004B_bin_32	62.46	2.45	468	19	0	Medium-quality
F5114_bin_47	62.49	0.73	427	10	0	Medium-quality
F5619_bin_12	62.49	3.64	211	40	0	Medium-quality
F5206_bin_11	62.5	4.9	612	11	0	Medium-quality
F4946_bin_51	62.51	0.67	278	10	0	Medium-quality
BL-unmapped_bin_40	62.54	0	376	24	0	Medium-quality
S60108B_bin_48	62.54	2.56	34	45	1	Medium-quality
F5138_bin_36	62.57	2.85	607	24	5	Medium-quality
F4364_bin_8	62.59	0.17	348	11	0	Medium-quality
BL-unmapped_bin_277	62.6	3.51	464	17	0	Medium-quality
F4661_bin_54	62.6	1.85	301	15	1	Medium-quality
F5181_bin_56	62.6	1.75	429	16	0	Medium-quality
F5248_bin_67	62.6	1.75	460	26	1	Medium-quality
F5525_bin_49	62.6	2.53	258	20	0	Medium-quality
S57008B_bin_10	62.6	1.01	328	27	0	Medium-quality
Boar-s35_bin_39	62.62	4.12	470	29	12	Medium-quality
BL-unmapped_bin_193	62.63	1.75	198	26	0	Medium-quality
F5114_bin_12	62.63	2.63	582	12	1	Medium-quality
S95006B_bin_3	62.63	1.72	345	14	0	Medium-quality
F4460_bin_16	62.64	0.89	399	7	1	Medium-quality
F5111_bin_13	62.64	1.89	377	15	2	Medium-quality
F5242_bin_24	62.64	1.14	166	18	0	Medium-quality
F5284_bin_40	62.66	3.98	688	27	2	Medium-quality
F5288_bin_33	62.66	0	267	13	1	Medium-quality
F5494_bin_16	62.66	0.96	449	17	0	Medium-quality
Tibetan-s1400-38F_bin_1	62.66	3.12	810	49	36	Medium-quality
F5181_bin_69	62.67	1.96	295	33	1	Medium-quality
F5512_bin_10	62.67	3.87	381	22	5	Medium-quality
F4842_bin_36	62.68	0.67	161	12	0	Medium-quality
F5382_bin_33	62.68	4.78	198	53	28	Medium-quality
S38404A_bin_81	62.69	1.91	405	13	0	Medium-quality
F4983_bin_59	62.73	0	379	17	0	Medium-quality
Boar-s23_bin_32	62.74	4.82	591	10	0	Medium-quality
F5021_bin_6	62.75	4.81	555	21	1	Medium-quality
F5155_bin_12	62.76	1.14	404	19	0	Medium-quality
F4962_bin_22	62.77	1.84	559	13	0	Medium-quality
S108604B_bin_3	62.78	0	411	21	0	Medium-quality
F5453_bin_39	62.79	0.88	408	15	0	Medium-quality
F5175_bin_41	62.8	0.71	73	19	0	Medium-quality
F5242_bin_27	62.8	0.86	462	28	1	Medium-quality
F5329_bin_21	62.81	2.03	522	24	0	Medium-quality
S120704B_bin_24	62.82	1.2	306	25	1	Medium-quality
Tibetan-s1400-32M_bin_1	62.82	0	37	33	0	Medium-quality
F5235_bin_50	62.86	0	104	27	0	Medium-quality
F5235_bin_27	62.87	0.22	307	12	1	Medium-quality
S142704A_bin_18	62.87	4.31	622	9	0	Medium-quality
F4726_bin_10	62.88	1.72	454	32	0	Medium-quality
F5589_bin_40	62.89	1.31	743	6	0	Medium-quality
F5173_bin_24	62.91	1.82	649	16	0	Medium-quality
F5635_bin_2	62.91	1.82	592	25	8	Medium-quality
BL-unmapped_bin_315	62.92	1.12	176	13	0	Medium-quality
Boar-s18_bin_16	62.92	2.76	581	46	1	Medium-quality
F5210_bin_37	62.92	0.33	705	27	0	Medium-quality
Boar-s8_bin_49	62.93	1.72	405	29	0	Medium-quality
Duroc-Low3_bin_10	62.93	1.31	403	37	1	Medium-quality
F5110_bin_32	62.93	1.72	330	22	0	Medium-quality
F5163_bin_4	62.93	1.72	352	13	0	Medium-quality
F5176_bin_60	62.93	3.45	356	21	0	Medium-quality
F5229_bin_28	62.93	0	265	12	0	Medium-quality
QHF6-unmapped_bin_469	62.93	0.57	206	27	0	Medium-quality
S108604B_bin_51	62.93	4.31	386	18	2	Medium-quality
W4978_bin_4	62.93	0	259	42	1	Medium-quality
W4982_bin_3	62.93	1.72	547	25	0	Medium-quality
F5415_bin_16	62.95	1.75	762	36	2	Medium-quality
F5633_bin_25	62.96	0	360	28	0	Medium-quality
F4659_bin_10	62.97	1.79	56	23	1	Medium-quality
F5403_bin_7	62.97	0.7	310	18	0	Medium-quality
S41004B_bin_55	62.97	3.17	371	14	0	Medium-quality
F5332_bin_40	62.98	1.14	545	11	0	Medium-quality
F5184_bin_48	62.99	1.2	772	20	1	Medium-quality
I5640_bin_4	63.01	1.18	445	22	0	Medium-quality
LW1-s151250_bin_18	63.04	1.14	327	27	1	Medium-quality
S38404A_bin_66	63.05	2.18	351	11	0	Medium-quality
S93310B_bin_29	63.06	2.1	451	23	0	Medium-quality
F4946_bin_50	63.07	1.34	518	20	5	Medium-quality
F5176_bin_49	63.08	1.75	131	10	0	Medium-quality
F4331_bin_32	63.09	3.45	721	29	0	Medium-quality
S67912A_bin_25	63.09	4.06	672	24	0	Medium-quality
BL-unmapped_bin_265	63.1	1.34	193	16	0	Medium-quality
F4372_bin_4	63.11	2.63	245	16	0	Medium-quality
F5114_bin_16	63.11	2.38	403	20	0	Medium-quality
F5141_bin_16	63.14	4.55	415	21	3	Medium-quality
BL-unmapped_bin_227	63.16	0	185	11	0	Medium-quality
BL-unmapped_bin_331	63.16	3.51	271	5	0	Medium-quality
C4936_bin_50	63.16	3.51	152	23	2	Medium-quality
Duroc-High3_bin_20	63.16	0	152	28	1	Medium-quality
F4679_bin_48	63.16	1.75	53	16	0	Medium-quality
F4679_bin_56	63.16	0	148	22	0	Medium-quality
F4905_bin_27	63.16	1.75	115	25	1	Medium-quality
F4954_bin_75	63.16	2.63	272	24	2	Medium-quality
F4987_bin_12	63.16	0	203	29	0	Medium-quality
F5056_bin_27	63.16	0	166	26	1	Medium-quality
F5612_bin_34	63.16	3.51	303	29	1	Medium-quality
F5641_bin_51	63.16	2.12	226	23	1	Medium-quality
QHF6-unmapped_bin_520	63.16	1.75	224	17	0	Medium-quality
QHF6-unmapped_bin_579	63.16	4.39	306	29	0	Medium-quality
W4930_bin_60	63.16	0.74	158	33	0	Medium-quality
F5336_bin_38	63.17	4.08	832	13	0	Medium-quality
F5440_bin_29	63.17	1.06	218	7	0	Medium-quality
F5589_bin_29	63.17	1.67	290	21	1	Medium-quality
QHF6-unmapped_bin_665	63.18	1.68	165	16	0	Medium-quality
F5449_bin_17	63.2	3.91	528	15	0	Medium-quality
QHF6-unmapped_bin_375	63.2	0.53	225	6	0	Medium-quality
F5110_bin_47	63.21	0.27	365	24	0	Medium-quality
F5084_bin_29	63.22	1.06	365	15	1	Medium-quality
Tibetan-s3480-3M_bin_20	63.22	3.28	273	15	0	Medium-quality
F4596_bin_22	63.24	0	283	14	0	Medium-quality
F5229_bin_22	63.24	1.67	321	26	1	Medium-quality
F5123_bin_17	63.25	0.85	108	54	28	Medium-quality
F4946_bin_25	63.27	3.02	251	12	0	Medium-quality
F5505_bin_18	63.28	3.45	479	21	1	Medium-quality
S67912A_bin_16	63.28	0	434	23	0	Medium-quality
F4844_bin_60	63.33	0.67	334	17	0	Medium-quality
F5490_bin_54	63.33	4.49	629	11	3	Medium-quality
QHF6-unmapped_bin_759	63.33	1.75	174	13	0	Medium-quality
F4856_bin_29	63.34	3.26	562	9	0	Medium-quality
F4844_bin_39	63.37	1.83	289	28	1	Medium-quality
F5103_bin_36	63.37	0	27	18	1	Medium-quality
F5141_bin_10	63.37	0.95	524	26	0	Medium-quality
F5299_bin_42	63.37	2.52	625	28	1	Medium-quality
F4993_bin_46	63.38	0.78	290	12	0	Medium-quality
S159812A_bin_21	63.38	1.7	476	25	1	Medium-quality
F4954_bin_39	63.39	0	184	32	1	Medium-quality
F5071_bin_37	63.4	2.7	586	24	2	Medium-quality
F4972_bin_5	63.42	3.58	640	17	0	Medium-quality
F5421_bin_3	63.42	1.05	271	11	0	Medium-quality
F5478_bin_63	63.42	4.7	335	29	0	Medium-quality
F4375_bin_25	63.43	0	297	27	0	Medium-quality
W4930_bin_49	63.43	0	251	22	1	Medium-quality
F5354_bin_15	63.44	0.81	274	19	0	Medium-quality
Tibetan-s1004M_bin_11	63.44	2.85	387	11	2	Medium-quality
F5510_bin_45	63.45	2.91	450	13	1	Medium-quality
F4997_bin_9	63.46	1.71	227	15	0	Medium-quality
S77806B_bin_39	63.47	2.42	394	23	0	Medium-quality
Tibetan-s3480-25M_bin_8	63.47	1.5	450	49	14	Medium-quality
F4669_bin_25	63.5	1.93	536	17	2	Medium-quality
F5039_bin_19	63.5	4.22	655	15	0	Medium-quality
QHF6-unmapped_bin_690	63.5	2.25	82	18	0	Medium-quality
S120704B_bin_22	63.5	4.2	713	15	1	Medium-quality
F4372_bin_26	63.52	0.34	311	11	2	Medium-quality
F5331_bin_79	63.53	0.78	413	9	0	Medium-quality
S93310B_bin_30	63.53	4.66	531	17	0	Medium-quality
F4596_bin_30	63.56	4.02	562	8	1	Medium-quality
F4726_bin_15	63.58	2.81	35	23	1	Medium-quality
F4726_bin_72	63.58	0	407	27	1	Medium-quality
BL-unmapped_bin_374	63.59	0.5	224	11	0	Medium-quality
S118306B_bin_11	63.59	0	124	13	0	Medium-quality
S181206A_bin_10	63.59	2.33	470	15	0	Medium-quality
F5165_bin_11	63.61	2.07	691	13	0	Medium-quality
S159812A_bin_38	63.61	3.87	410	12	0	Medium-quality
Boar-s7_bin_25	63.62	2.07	254	17	2	Medium-quality
Tibetan-s3800-53F_bin_20	63.62	2.1	230	17	1	Medium-quality
C4936_bin_35	63.63	1.12	70	12	1	Medium-quality
F4850_bin_46	63.64	3.64	644	25	0	Medium-quality
Tibetan-s3800-8M_bin_17	63.64	1.82	22	31	0	Medium-quality
F5020_bin_2	63.67	3.98	1028	15	0	Medium-quality
S159812B_bin_20	63.67	2.22	784	19	1	Medium-quality
F5240_bin_54	63.68	3.25	297	35	3	Medium-quality
F5512_bin_21	63.68	0	25	41	3	Medium-quality
F5641_bin_43	63.68	0.67	28	35	0	Medium-quality
W5021_bin_69	63.68	0.38	292	17	1	Medium-quality
F4958_bin_15	63.7	1.34	160	36	0	Medium-quality
F5569_bin_63	63.7	0	270	25	1	Medium-quality
S181206A_bin_31	63.7	0.67	451	15	0	Medium-quality
F4364_bin_11	63.71	1.72	626	8	0	Medium-quality
Tibetan-s3006F_bin_23	63.71	4.61	412	10	0	Medium-quality
F4975_bin_16	63.72	1.57	609	22	1	Medium-quality
F5457_bin_29	63.74	0	47	42	10	Medium-quality
F4665_bin_4	63.76	4.81	844	12	1	Medium-quality
BL-unmapped_bin_17	63.79	0	120	14	1	Medium-quality
F5313_bin_22	63.79	0	172	21	1	Medium-quality
F5622_bin_43	63.79	1.72	487	21	0	Medium-quality
I4978_bin_13	63.79	0.86	224	8	0	Medium-quality
Laiwu-LwJeOb_bin_13	63.79	2.67	370	19	0	Medium-quality
QHF6-unmapped_bin_482	63.79	0	81	37	0	Medium-quality
W5021_bin_110	63.79	1.66	565	31	2	Medium-quality
F4657_bin_4	63.8	1.82	660	20	1	Medium-quality
S95008B_bin_28	63.8	4.39	340	16	0	Medium-quality
Tibetan-s3800-18M_bin_13	63.8	0	372	32	0	Medium-quality
C4950_bin_10	63.82	4.46	703	38	24	Medium-quality
C4979_bin_31	63.82	0	124	48	3	Medium-quality
F5110_bin_31	63.82	0	73	47	11	Medium-quality
F5501_bin_33	63.82	1.21	120	15	1	Medium-quality
F5575_bin_54	63.82	4.64	572	19	1	Medium-quality
S159812A_bin_17	63.82	0.78	440	16	0	Medium-quality
F4791_bin_25	63.83	3.03	544	41	2	Medium-quality
F4945_bin_3	63.88	0.47	476	12	0	Medium-quality
S41004B_bin_3	63.88	0.32	249	12	0	Medium-quality
F5498_bin_38	63.89	3.06	384	21	0	Medium-quality
F5487_bin_43	63.9	0.24	72	23	0	Medium-quality
F4997_bin_30	63.91	1.71	392	21	0	Medium-quality
F5288_bin_47	63.91	3.6	202	18	0	Medium-quality
QHF6-unmapped_bin_492	63.92	1.34	159	12	0	Medium-quality
Tibetan-s3800-12F_bin_42	63.92	2.73	542	16	0	Medium-quality
QHF6-unmapped_bin_365	63.93	2.34	310	29	0	Medium-quality
C4936_bin_3	63.95	0	469	31	0	Medium-quality
F5138_bin_2	63.95	1.72	301	16	0	Medium-quality
S77806B_bin_32	63.95	3.45	380	13	1	Medium-quality
S101306A_bin_9	63.97	2.59	446	11	0	Medium-quality
Duroc.SH-FCR.HF3_bin_34	63.98	1.01	238	29	3	Medium-quality
F5457_bin_5	63.98	0.59	577	29	4	Medium-quality
F5457_bin_63	63.98	4.03	291	25	1	Medium-quality
Tibetan-s3800-8M_bin_3	63.98	2.15	534	20	15	Medium-quality
F5115_bin_9	63.99	0.99	57	53	13	Medium-quality
LW1-s151246_bin_24	63.99	0.03	346	13	0	Medium-quality
S95008B_bin_37	63.99	1.85	532	26	9	Medium-quality
Duroc-High1_bin_9	64	0	418	26	1	Medium-quality
Duroc-High7_bin_26	64	2.94	304	23	0	Medium-quality
F4960_bin_42	64	1.85	358	36	3	Medium-quality
QHF6-unmapped_bin_392	64	0	289	18	0	Medium-quality
S41004B_bin_59	64	0.69	284	18	0	Medium-quality
F5476_bin_8	64.02	2.42	872	13	1	Medium-quality
F5071_bin_55	64.03	0.78	354	18	1	Medium-quality
BL-unmapped_bin_113	64.04	1.75	304	10	0	Medium-quality
F5244_bin_7	64.04	0	343	29	0	Medium-quality
F5268_bin_54	64.04	3.51	69	16	1	Medium-quality
Boar-s35_bin_16	64.05	0	20	45	2	Medium-quality
F4372_bin_14	64.05	2.57	547	13	0	Medium-quality
Boar-s14_bin_48	64.09	0.24	83	26	0	Medium-quality
S95008B_bin_63	64.09	4.31	335	5	0	Medium-quality
F5131_bin_3	64.1	0.85	91	50	12	Medium-quality
BL-unmapped_bin_209	64.11	0.86	257	11	0	Medium-quality
F4552_bin_22	64.11	0	575	29	1	Medium-quality
F5336_bin_44	64.11	2.01	371	16	2	Medium-quality
BL-unmapped_bin_428	64.12	1.42	485	22	0	Medium-quality
F5634_bin_67	64.15	1.89	361	24	1	Medium-quality
Tibetan-s3480-3M_bin_19	64.15	3.02	291	25	0	Medium-quality
F5141_bin_3	64.16	0.72	397	19	0	Medium-quality
